Czas_s,Pozycja_X_m,Pozycja_Y_m,Kat_Alpha_rad,Kat_Beta_rad
2.49,-0.00163883272777334,0.0032792814823214,0.0023278041736009,-0.00719999287649009
2.5,-0.00161838428656598,0.00329657814831356,0.0022153425270478,-0.00701046914569961
2.51,-0.00159630471971983,0.00330882967644012,0.00210314918266836,-0.00681686062867269
2.52,-0.00157267283071724,0.00331616886868673,0.00199137377255548,-0.00661956344132416
2.53,-0.00154756723503736,0.00331873138930711,0.00188016067965544,-0.00641896649507534
2.54,-0.00152106625530685,0.00331665548725896,0.00176964900515796,-0.00621545119468464
2.55,-0.00149324782012867,0.00331008172368819,0.00165997254383456,-0.00600939115497423
2.56,-0.00146418936661187,0.00329915270467315,0.00155125976712797,-0.00580115193628454
2.57,-0.00143396774661972,0.00328401281942736,0.00144363381379027,-0.00559109079846771
2.58,-0.00140265913674789,0.00326480798414623,0.00133721248786314,-0.00537955647321123
2.59,-0.00137033895203939,0.00324168539166988,0.00123210826378966,-0.00516688895446388
2.6,-0.00133708176343761,0.00321479326712195,0.00112842829844326,-0.00495341930671802
2.61,-0.00130296121897385,0.00318428062967092,0.00102627444985658,-0.004739469490885
2.62,-0.00126804996868096,0.00315029706054855,0.000925743302429868,-0.00452535220748421
2.63,-0.00123241959322,0.0031129924774472,0.00082692619839634,-0.00431137075685059
2.64,-0.00119614053620212,0.00307251691540618,0.000729909275319869,-0.00409781891605101
2.65,-0.00115928204018379,0.00302902031428483,0.000634773509398618,-0.00388498083218599
2.66,-0.00112191208630897,0.00298265231290873,0.000541594764347058,-0.00367313093174047
2.67,-0.00108409733756792,0.00293356204996379,0.000450443845627778,-0.00346253384563525
2.68,-0.00104590308563843,0.00288189797170168,0.00036138655980394,-0.00325344434961939
2.69,-0.00100739320127139,0.00282780764650916,0.000274483778782948,-0.00304610731963371
2.7,-0.000968630088179232,0.00277143758638309,0.000189791508721958,-0.00284075770176567
2.71,-0.000929674640382084,0.00271293307534233,0.000107360963366241,-0.00263762049640755
2.72,-0.000890586202963467,0.0026524380047977,2.72386415920667e-05,-0.00243691075622139
2.73,-0.000851422536184091,0.00259009471589093,-5.05335910732408e-05,-0.0022388335975075
2.74,-0.000812239782899429,0.00252604384880428,-0.000125918417180163,-0.00204358422456643
2.75,-0.00077309243922394,0.00246042419903251,-0.000198882978559342,-0.00185134796663923
2.76,-0.000734033328382203,0.00239337258060053,-0.00026939878422019,-0.00166230032700522
2.77,-0.000695113577684729,0.00232502369620049,-0.000337441615166501,-0.00147660704381295
2.78,-0.000656382598563911,0.00225551001421418,-0.000402991426347489,-0.00129442416221616
2.79,-0.000617888069603436,0.00218496165257787,-0.00046603224596017,-0.00111589811738392
2.8,-0.000579675922492422,0.00211350626943934,-0.000526552072316285,-0.000941165827951871
2.81,-0.000541790330833756,0.00204126896054854,-0.000584542768483963,-0.000770354799480317
2.82,-0.000504273701734335,0.00196837216331688,-0.000639999954911198,-0.000603583237483809
2.83,-0.000467166670103401,0.00189493556747215,-0.000692922900234862,-0.00044096016959683
2.84,-0.00043050809558373,0.0018210760322303,-0.000743314410475453,-0.000282585576440568
2.85,-0.000394335062039153,0.00174690750989818,-0.000791180716814052,-0.000128550530756778
2.86,-0.000358682879520772,0.00167254097581571,-0.000836531362144161,2.10626556237406e-05
2.87,-0.000323585088633245,0.00159808436453991,-0.000879379086587021,0.00016618027740836
2.88,-0.000289073467221621,0.0015236425121678,-0.000919739712154924,0.000306737074493257
2.89,-0.000255178039298526,0.00144931710469007,-0.000957632026742713,0.000442676064061994
2.9,-0.000221927086130877,0.00137520663226239,-0.000993077667623283,0.000573948366552966
2.91,-0.000189347159404824,0.00130140634927675,-0.0010261010046184,0.000700513025912537
2.92,-0.000157463096387299,0.00122800824011081,-0.00105672902311151,0.000822336824546093
2.93,-0.000126298037002295,0.00115510099042946,-0.00108499120706459,0.000939394093374309
2.94,-9.58734427399148e-05,0.00108276996390874,-0.00111091942219617,0.00105166651739648
2.95,-6.62091173161989e-05,0.00101109718424916,-0.00113454779947296,0.00115914293715707
2.96,-3.73232290018934e-05,0.000940161322342129,-0.00115591261906249,0.00126181914650526
2.97,-9.23233453850433e-06,0.000870037688450348,-0.00117505219488923,0.00135969768703122
2.98,1.80485954396703e-05,0.000800798229260511,-0.00119200675993161,0.0014527876395553
2.99,4.4506149558426e-05,0.00073251152966423,-0.00120681835239234,0.00154110441304002
3,7.01284475118297e-05,0.000665242819121093,-0.00121953070286929,0.00162466953128648
3.01,9.490511060545e-05,0.000599053982455952,-0.00123018912264915,0.00170351041776976
3.02,0.000118827231113702,0.000534003574940947,-0.00123884039324077,0.00177766017895942
3.03,0.000141887340529584,0.000470146841511537,-0.00124553265726027,0.0018471573864634
3.04,0.000164079376784203,0.000407535739964669,-0.00125031531077446,0.00191204585832481
3.05,0.000185398650512555,0.000346218967986459,-0.00125323889720433,0.00197237443979282
3.06,0.000205841810441,0.000286241993856118,-0.00125435500288516,0.00202819678387977
3.07,0.000225406807970762,0.000227647090672517,-0.00125371615437435,0.00207957113200791
3.08,0.000244092861030644,0.00017047337394962,-0.00125137571759375,0.00212656009503971
3.09,0.000261900417270926,0.000114756842427081,-0.0012473877988873,0.0021692304349769
3.1,0.000278831116669094,6.05304219425659e-05,-0.00124180714807066,0.00220765284760355
3.11,0.000294887753616756,7.82401221284522e-06,-0.00123468906354389,0.00224190174633931
3.12,0.000310074238555662,-4.33354636286618e-05,-0.00122608929953369,0.00227205504755943
3.13,0.000324395559229328,-9.29240068893411e-05,-0.00121606397552676,0.00229819395762831
3.14,0.00033785774161525,-0.000140920488720266,-0.00120466948795106,0.00232040276188391
3.15,0.000350467810601177,-0.000187306593213739,-0.00119196242415699,0.00233876861580058
3.16,0.000362233750467333,-0.000232066758343349,-0.00117799947874581,0.00235338133854802
3.17,0.000373164465234848,-0.000275188114892887,-0.00116283737228823,0.00236433320915455
3.18,0.000383269738939041,-0.000316660423518771,-0.00114653277247131,0.00237171876547301
3.19,0.000392560195884509,-0.000356476010088812,-0.00112914221770768,0.00237563460613798
3.2,0.000401047260937268,-0.000394629699438189,-0.00111072204323639,0.00237617919569323
3.21,0.000408743119907475,-0.000431118747681408,-0.0010913283097409,0.00237345267305874
3.22,0.000415660680074529,-0.000465942773216788,-0.00107101673450515,0.00236755666349722
3.23,0.000421813530904543,-0.000499103686557688,-0.00104984262512478,0.00235859409423011
3.24,0.00042721590500845,-0.000530605619122238,-0.00102786081578658,0.00234666901384417
3.25,0.000431882639387181,-0.00056045485111076,-0.00100512560612546,0.00233188641561993
3.26,0.000435829137008564,-0.000588659738597438,-0.000981690702664181,0.00231435206490437
3.27,0.000439071328758797,-0.000615230639960029,-0.000957609162837837,0.0022941723306409
3.28,0.000441625635809521,-0.000640179841768568,-0.00093293334160116,0.00227145402116066
3.29,0.000443508932439713,-0.000663521484251137,-0.000907714840613492,0.00224630422433045
