Czas,Pozycja_X,Pozycja_Y,Kat_Alpha,Kat_Beta,Silownik_1,Silownik_2,Silownik_3
0.27,0.117612482080978,-0.0980104017341484,-0.0396257180783138,0.0330214317319282,0.00990642951957846,0.00534184878991679,-0.0152482783094953
0.28,0.117287213715477,-0.0977393447628974,-0.0408345246082824,0.034028770506902,0.0102086311520706,0.00550480512263471,-0.0157134362747053
0.29,0.116934179043237,-0.0974451492026972,-0.0419557896446826,0.0349631580372355,0.0104889474111706,0.00565596019485404,-0.0161449076060247
0.3,0.116552531036253,-0.0971271091968774,-0.0429867828125945,0.0358223190104954,0.0107466957031486,0.00579494593122702,-0.0165416416343756
0.31,0.116141484008097,-0.0967845700067473,-0.0439252170993637,0.0366043475828031,0.0109813042748409,0.00592145402501822,-0.0169027582998591
0.32,0.115700315527127,-0.0964169296059391,-0.0447692279077723,0.0373076899231436,0.0111923069769431,0.00603523311431229,-0.0172275400912554
0.33,0.115228368019032,-0.0960236400158604,-0.0455173525733734,0.0379311271444779,0.0113793381433434,0.00613608602079464,-0.017515424164138
0.34,0.114725050073383,-0.0956042083944855,-0.0461685103461014,0.0384737586217512,0.0115421275865254,0.00622386705111988,-0.0177659946376452
0.35,0.114189837468537,-0.0951581978904473,-0.0467219828360445,0.0389349856967038,0.0116804957090111,0.00629847936085296,-0.0179789750698641
0.36,0.113622273928941,-0.0946852282741177,-0.0471773949230428,0.0393144957692024,0.0117943487307607,0.00635987238093748,-0.0181542211116982
0.37,0.113021971628516,-0.0941849763570963,-0.0475346961295424,0.0396122467746187,0.0118836740323856,0.00640803930661447,-0.0182917133390001
0.38,0.112388611453505,-0.0936571762112538,-0.0477941424559071,0.0398284520465893,0.0119485356139768,0.006443014648684,-0.0183915502626608
0.39,0.111721943037848,-0.0931016191982071,-0.0479562786771538,0.0399635655642948,0.0119890696692885,0.00646487184697013,-0.0184539415162586
0.4,0.1110217845838,-0.0925181538198334,-0.0480219210998437,0.0400182675832031,0.0120054802749609,0.00647372094581852,-0.0184792012207794
0.41,0.110288022480193,-0.0919066854001608,-0.0479921407776256,0.0399934506480213,0.0119980351944064,0.00646970633142365,-0.0184677415258301
0.42,0.109520610730444,-0.091267175608703,-0.0478682471836921,0.0398902059864101,0.011967061795923,0.00645300453075156,-0.0184200663266746
0.43,0.108719570202049,-0.0905996418350412,-0.0476517723381736,0.0397098102818113,0.0119129430845434,0.00642382207179158,-0.018336765156335
0.44,0.107884987709022,-0.0899041564241846,-0.0473444553882619,0.0394537128235516,0.0118361138470655,0.00638239340483942,-0.0182185072519049
0.45,0.107017014938377,-0.0891808457819806,-0.04694822763862,0.0391235230321834,0.011737056909655,0.00632897888448239,-0.0180660357941374
0.46,0.106115867231492,-0.0884298893595766,-0.0464651980294048,0.0387209983578374,0.0116162995073512,0.00626386281192616,-0.0178801623192774
0.47,0.105181822230812,-0.0876515185256765,-0.0458976390590002,0.0382480325491668,0.01147440976475,0.00618735153727189,-0.0176617613020219
0.48,0.104215218402084,-0.08684601533507,-0.0452479731483301,0.0377066442902751,0.0113119932870825,0.00609977162132174,-0.0174117649084043
0.49,0.103216453441987,-0.0860137112016558,-0.0445187594433999,0.0370989662028332,0.01112968986085,0.00600146805646082,-0.0171311579173108
0.5,0.102185982580705,-0.085154985483921,-0.0437126810524912,0.0364272342104093,0.0109281702631228,0.00589280254613382,-0.0168209728092566
0.51,0.101124316788699,-0.0842702639905827,-0.0428325327142228,0.0356937772618523,0.0107081331785557,0.00577415184240565,-0.0164822850209614
0.52,0.100032020896613,-0.0833600174138441,-0.0418812088924748,0.0349010074103957,0.0104703022231187,0.00564590614106643,-0.0161162083641851
0.53,0.0989097116369604,-0.082424759697467,-0.0408616922939673,0.0340514102449728,0.0102154230734918,0.00550846753371365,-0.0157238906072055
0.54,0.0977580556159339,-0.0814650463466116,-0.0397770428040823,0.0331475356700686,0.00994426070102059,0.0053622485162166,-0.0153065092172372
0.55,0.0965777672233786,-0.0804814726861489,-0.0386303868363182,0.0321919890302652,0.00965759670907955,0.00520767055294168,-0.0148652672620212
0.56,0.095369606488687,-0.0794746720739059,-0.0374249070905756,0.0311874225754797,0.0093562267726439,0.0050451626960913,-0.0144013894687352
0.57,0.0941343768900766,-0.0784453140750638,-0.0361638327152858,0.0301365272627382,0.00904095817882145,0.00487516025948376,-0.0139161184383052
0.58,0.0928729231244262,-0.0773941026036885,-0.0348504298682118,0.0290420248901765,0.00871260746705294,0.00469810354607734,-0.0134107110131303
0.59,0.0915861288445661,-0.0763217740371384,-0.0334879926705778,0.0279066605588148,0.00837199816764445,0.00451443662851802,-0.0128864347961625
0.6,0.090274914370634,-0.0752290953088617,-0.0320798345490153,0.0267331954575128,0.00801995863725384,0.00432460618196778,-0.0123445648192216
0.61,0.0889402343818378,-0.0741168619848648,-0.0306292799596497,0.0255243999663748,0.00765731998991243,0.00412906036844846,-0.0117863803583609
0.62,0.0875830755946897,-0.0729858963289081,-0.0291396564884985,0.0242830470737487,0.00728491412212462,0.00392824777191521,-0.0112131618940398
0.63,0.0862044544335127,-0.0718370453612606,-0.027614287322203,0.0230119061018358,0.00690357183055075,0.00372261638325373,-0.0106261882138045
0.64,0.0848054146987534,-0.0706711789156279,-0.0260564840829734,0.0217137367358112,0.00651412102074336,0.00351261263437628,-0.0100267336551196
0.65,0.0833870252383777,-0.0694891876986481,-0.024469540021493,0.0203912833512442,0.00611738500537325,0.00329868048057326,-0.00941606548594651
0.66,0.0819503776273695,-0.0682919813561413,-0.0228567235614007,0.0190472696345006,0.00571418089035018,0.00308126053026032,-0.0087954414206105
0.67,0.0804965838601034,-0.0670804865500862,-0.0212212721888516,0.0176843934907096,0.00530531804721289,0.00286078922124445,-0.00816610726845734
0.68,0.0790267740601132,-0.0658556450500943,-0.01956638668054,0.0163053222337834,0.00489159667013501,0.00263769804261764,-0.00752929471275265
0.69,0.0775420942115393,-0.0646184118429494,-0.0178952256634698,0.0149126880528915,0.00447380641586744,0.0024124128013723,-0.00688621921723973
0.7,0.0760437039162985,-0.063369753263582,-0.016210900499652,0.01350908374971,0.00405272512491299,0.00218535293281964,-0.00623807805773263
0.71,0.0745327741807892,-0.0621106451506576,-0.014516470488828,0.01209705874069,0.00362911762220699,0.00195693085388015,-0.00558604847608714
0.72,0.0730104852357155,-0.0608420710297629,-0.0128149383822265,0.010679115318522,0.00320373459555661,0.00172755135830381,-0.00493128595386042
0.73,0.0714780243923921,-0.0595650203269934,-0.0111092462002925,0.00925770516691044,0.00277731155007313,0.00149761105286816,-0.00427492260294129
0.74,0.0699365839386738,-0.0582804866155615,-0.00940227134725807,0.00783522612271505,0.00235056783681452,0.00126749783359275,-0.00361806567040727
0.75,0.0683873590774394,-0.0569894658978662,-0.0076968230153624,0.00641401917946866,0.0019242057538406,0.00103759040100068,-0.00296179615484127
